Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Gemykrogvirus,Gemykrogvirus galga2,chicken stool-associated gemycircularvirus,RS/BR/2015,KY056250,Complete genome,
Gemykrogvirus,Gemykrogvirus galga3,chicken genomovirus mg4_1173,,MN379605,Complete genome,
Gemykrogvirus,Gemykrogvirus galga4,chicken genomovirus mg7_78,,MN379614,Complete genome,
Gemykrogvirus,Gemykrogvirus galga5,chicken genomovirus mg4_1165,,MN379604,Complete genome,
Gemykrogvirus,Gemykrogvirus giapa1,giant panda associated gemycircularvirus,gpge002,MF327559,Complete genome,
Gemykrogvirus,Gemykrogvirus hadtis1,Genomoviridae sp. cthh214,,MK032724,Complete genome,
Gemykrogvirus,Gemykrogvirus humas1,Gemycircularvirus sp. Viet Nam,,MT649486,Complete genome,
Gemykrogvirus,Gemykrogvirus sewopo1,sewage derived gemykrogvirus 1,BS3913,KJ547634,Complete genome,SeGKrV1
Gemykroznavirus,Gemykroznavirus anima1,Genomoviridae sp. ctda_5,,MK032727,Complete genome,
Gemykroznavirus,Gemykroznavirus haeme1,finch associated genomovirus 8,A3N_A,MK249245,Complete genome,
Gemykroznavirus,Gemykroznavirus hydro1,capybara genomovirus 10,cap1_694,MK483082,Complete genome,
Gemykroznavirus,Gemykroznavirus poaspe1,plant associated genomovirus 24,QS29_F24,MH939435,Complete genome,
Gemykroznavirus,Gemykroznavirus rabas1,rabbit associated gemykroznavirus 1,as35,KF371631,Complete genome,RGKrzV1
Gemykroznavirus,Gemykroznavirus solas1,plant associated genomovirus 23,AH_2861,MH939385,Complete genome,
Gemykroznavirus,Gemykroznavirus zizan1,Zizania latifolia genomoviridae,pt081-gen-5,MN823671,Complete genome,
Gemytondvirus,Gemytondvirus ostri1,ostrich associated gemytondvirus 1,as3,KF371630,Complete genome,OGTV1
Gemytripvirus,Gemytripvirus fugra1,Fusarium graminearum gemytripvirus 1,,DNA-A: MK430076;,Complete genome,FgGMTV1
,,,,DNA-B: MK430077;,,
,,,,DNA-C: MK430078,,
Gemyvongvirus,Gemyvongvirus humas1,human associated gemyvongvirus 1,DB1,KP974693,Complete genome,HGVV1
Gemyvongvirus,Gemyvongvirus minit1,Genomoviridae sp. ctcg218,,MK032710,Complete genome,
Gemyvongvirus,Gemyvongvirus minit2,Genomoviridae sp. ctcj747,,MK032740,Complete genome,
